,BBL,Longitude,Latitude,age,BldgArea,UnitsTotal,EER_km,WER_km,NER_km,EUI_2016_x,Group_mean_EUI_2016,Group_mean_water_intensity,Group_mean_naturalgas_intensity,Pred_EUI_lr,EER_lr,Pred_WUI_lr,WER_lr,Pred_NUI_lr,NER_lr,EUI_2016_y,avgEER,avgWER,avgNER
72,1004670025,-73.9867076306,40.7310964414,88,65602,69,0.750895435839,0.554337777393,0.0,63.6,84.6988767869,67.4859292035,49.170764382,119.054066346,0.534211068566,56.0554202536,0.667375248116,45.5313936327,0.0,63.6,0.642553252203,0.610856512755,0.0
73,2032870100,-73.8909306279,40.8649718765,51,81730,73,1.21371149063,0.97146176653,0.0879918286506,102.8,84.6988767869,67.4859292035,49.170764382,130.872027343,0.785500172095,76.7886008371,0.853772555891,40.3708413316,0.10717204129,102.8,0.999605831364,0.912617161211,0.0975819349705
74,3064150016,-73.9963089837,40.5989059185,87,89070,79,1.10627204934,0.816021956724,1.5363290648,93.7,84.6988767869,67.4859292035,49.170764382,91.8132768932,1.02054956724,50.9004341632,1.08191611536,60.1517998208,1.25586390903,93.7,1.06341080829,0.948969036042,1.39609648691
75,4097980039,-73.7940638057,40.708296182,60,69184,111,1.96814888608,1.92069667751,2.88376518814,166.7,84.6988767869,67.4859292035,49.170764382,90.2644673705,1.8467953654,111.680758986,1.16062964808,71.8466280565,1.97360603322,166.7,1.90747212574,1.5406631628,2.42868561068
76,1004810001,-73.9972798765,40.7210458769,104,173838,123,0.953967786412,0.526776476512,1.15014963715,80.8,84.6988767869,67.4859292035,49.170764382,100.149128032,0.806796839751,43.5012607966,0.817217693211,43.3648270861,1.30413841384,80.8,0.880382313081,0.671997084862,1.22714402549
77,1004840001,-73.9995779004,40.7228574488,137,125590,26,1.15940144339,0.371781203817,0.0663441881214,98.2,84.6988767869,67.4859292035,49.170764382,87.2310915205,1.12574539981,35.9105329436,0.69868080319,39.7628539696,0.0820412550046,98.2,1.1425734216,0.535231003503,0.074192721563
78,1004950011,-73.9963850702,40.7233267464,91,63587,102,1.89140642801,1.91447315796,1.10630596522,160.2,84.6988767869,67.4859292035,49.170764382,125.611451134,1.27536143046,60.1036894067,2.14961845563,46.7505002907,1.16357920475,160.2,1.58338392923,2.03204580679,1.13494258499
79,1005060027,-74.0039001345,40.7266643619,51,172836,181,0.872502715543,0.61168306471,0.410967693787,73.9,84.6988767869,67.4859292035,49.170764382,124.725770171,0.592499849058,49.9815658085,0.825904497633,45.8711078291,0.44052992387,73.9,0.7325012823,0.718793781171,0.425748808828
80,1005080025,-73.9939461686,40.7242818197,26,92088,163,1.11807858135,1.11015734516,0.0905908605111,94.7,84.6988767869,67.4859292035,49.170764382,143.462138093,0.660104479545,63.3179833158,1.18323414734,50.2005563863,0.0887325196771,94.7,0.889091530448,1.14669574625,0.0896616900941
81,1005480070,-73.9934441196,40.7300704836,41,455959,486,1.32828141603,1.19268338122,0.153174655565,118.3,89.0624521073,50.5918007663,48.4111372627,115.612020428,1.02325000084,54.4297106223,1.10858572111,48.9371194388,0.151528315535,118.3,1.17576570843,1.15063455117,0.15235148555
